Ano;Id;Município;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta
2008;1;Águas Vermelhas;154;436;1;0,169587981;0,466;13179;3705,94
2009;1;Águas Vermelhas;148;442;0;0,381775806;0,466;13301;6728,53
2010;1;Águas Vermelhas;137;384;1;0,422496463;0,601;12722;10390,91
2011;1;Águas Vermelhas;160;472;1;0,427308986;0,601;12787;10088,12
2012;1;Águas Vermelhas;161;448;1;0,339922179;0,601;12850;17412,72
2013;1;Águas Vermelhas;100;285;0;0,364948144;0,601;13306;10580,18
2014;1;Águas Vermelhas;256;771;0;0,391762595;0,601;13378;11647,07
2008;2;Aimorés;90;239;0;0,574645169;0,593;24871;8887,23
2009;2;Aimorés;94;261;1;0,553716012;0,593;24825;10150,12
2010;2;Aimorés;60;167;2;0,621098602;0,684;24959;10184,46
2011;2;Aimorés;43;130;0;0,763628347;0,684;24948;11670,97
2012;2;Aimorés;54;163;0;0,763965192;0,684;24937;13125,32
2013;2;Aimorés;43;112;1;0,771996105;0,684;25675;14985,86
2014;2;Aimorés;118;302;2;0,771695542;0,684;25685;14084,98
2008;3;Alfenas;83;729;3;1,022683041;0,675;74505;13435,55
2009;3;Alfenas;25;143;0;1,031297365;0,675;75214;14535,54
2010;3;Alfenas;25;154;0;0,937674519;0,761;73774;17422,24
2011;3;Alfenas;20;208;0;0,937669924;0,761;74298;20458
2012;3;Alfenas;16;70;0;0,93767713;0,761;74804;22649,3
2013;3;Alfenas;16;123;0;0,937669097;0,761;77618;22672,17
2014;3;Alfenas;29;187;4;0,937679083;0,761;78176;25103,11
2008;4;Almenara;130;397;1;0,788444955;0,529;38269;4975,58
2009;4;Almenara;95;333;5;0,799330409;0,529;38531;5489,78
2010;4;Almenara;140;407;1;0,818826564;0,642;38775;6822,02
2011;4;Almenara;97;325;1;0,818833897;0,642;39036;7603,4
2012;4;Almenara;128;360;1;0,818820475;0,642;39287;8054,09
2013;4;Almenara;109;375;2;0,81881764;0,642;40749;9098,35
2014;4;Almenara;113;367;1;0,818831042;0,642;41028;10240,99
2008;5;Araçuaí;230;976;3;0,071788954;0,516;37262;4285,99
2009;5;Araçuaí;159;572;5;0,187814272;0,516;37388;4564,11
2010;5;Araçuaí;79;278;1;0,332685419;0,663;36013;5421,98
2011;5;Araçuaí;72;279;3;0,405139163;0,663;36037;5931,35
2012;5;Araçuaí;66;236;0;0,446157686;0,663;36059;6702,23
2013;5;Araçuaí;65;253;1;0,484140009;0,663;37169;7629,69
2014;5;Araçuaí;80;285;3;0,52337453;0,663;37220;9171,63
2008;6;Araguari;210;606;0;0,904934109;0,673;110334;16723,68
2009;6;Araguari;189;565;2;0,887825735;0,673;111095;17239,3
2010;6;Araguari;231;721;2;0,934262894;0,773;109801;19564,66
2011;6;Araguari;136;376;3;1;0,773;110402;20056,12
2012;6;Araguari;99;358;1;1;0,773;110983;25458,45
2013;6;Araguari;75;402;1;1;0,773;114970;24558,92
2014;6;Araguari;84;328;1;1;0,773;115632;29606,03
2008;7;Araxá;94;320;1;1,021286108;0,683;91703;25803,3
2009;7;Araxá;63;278;3;1,038374208;0,683;92927;21312,23
